name,english,german,mandarin,korean,japanese,spanish
common.or,or,oder,或者,또는,または,o
common.confirm,Confirm,Bestätigen,确认,확인,確認,Confirmar
common.cancel,Cancel,Stornieren,取消,취소,キャンセル,Cancelar
common.close,Close,Schließen,关闭,닫기,閉じる,Cerrar
common.learn-more,Learn more,Mehr erfahren,更多详情,더 알아보기,もっと詳しく知る,Aprende más
common.errors-invalid-email,Invalid email,Ungültige E-Mail,不合规电邮,잘못된 이메일,無効なメール,Email inválido
common.errors-invalid-mnemonic,Invalid mnemonic phrase,Ungültige mnemonische Phrase,助记词短语无效,잘못된 니모닉 문구,ニーモニックフレーズが無効です,Frase mnemotécnica no válida
common.errors-incorrect-mnemonic,Incorrect share mnemonic,Falsche Share-Mnemonik,不正确的共享助记符,잘못된 공유 니모닉,誤った共有ニーモニック,Mnemónico compartido incorrecto
common.errors-invalid-password,"Must contain at least 10 characters. At least one uppercase letter, one lowercase letter, one number","Muss mindestens 10 Zeichen enthalten. Mindestens ein Großbuchstabe, ein Kleinbuchstabe, eine Zahl",必须至少包含10个字符。 至少一个大写字母，一个小写字母，一个数字,"10 자 이상이어야합니다. 하나 이상의 대문자, 하나의 소문자, 하나의 숫자",10文字以上である必要があります。 少なくとも1つの大文字、1つの小文字、1つの数字,"Debe contener al menos 10 caracteres. Al menos una letra mayúscula, una letra minúscula, un número"
common.errors-incorrect-password,Incorrect password,Falsches Passwort,密码错误,잘못된 비밀번호,パスワードが正しくありません,Contraseña incorrecta
common.errors-mismatch-password,Password must match,Passwort muss übereinstimmen,密码必须匹配,암호가 일치해야합니다,パスワードが一致している必要があります,Contraseña debe coincidir con
common.errors-required,Required,Erforderlich,必需的,필수,必須,Requerido
common.powered-by,Powered by,durch,通过,으로,沿って,por
common.secured-by,Secured by,Gesichert durch,担保人,보안,によって保護,Asegurado por
common.copier-copied,Copied!,Kopiert!,复制！,복사되었습니다!,コピーしました！,Copiado!
common.copier-copy,Copy to clipboard,In die Zwischenablage kopieren,复制到剪贴板,클립 보드에 복사,クリップボードにコピー,Copiar al portapapeles
common.copier-terms-of-use,Terms of use,Nutzungsbedingungen,使用条款,이용 약관,利用規約,Condiciones de uso
common.copier-privacy-policy,Privacy policy,Datenschutz-Bestimmungen,隐私政策,개인 정보 정책,個人情報保護方針,Política de privacidad
common.copier-manage-account,Manage account,Konto verwalten,管理帐户,계정 관리,アカウントを管理する,Administrar cuenta
common.loader-device-detecting,Detecting your device,Erkennen Ihres Geräts,检测您的设备,장치 감지,デバイスの検出,Detectando su dispositivo
common.loader-secure-login,Securing login with tKey,Anmeldung mit tKey sichern,使用tKey保护登录,tKey로 로그인 보안,tKeyでログインを保護する,Asegurar el inicio de sesión con tKey
common.referenceId,Reference ID:,Referenz ID:,参考编号：,참조 ID :,参照ID：,Identificación de referencia:
error-block.required-fields-title,One or more of the following required parameters is missing/invalid,Einer oder mehrere der folgenden erforderlichen Parameter fehlen / sind ungültig,以下一个或多个必需参数缺失/无效,다음 필수 매개 변수 중 하나 이상이 누락되었거나 유효하지 않습니다.,次の必須パラメーターの1つ以上が欠落/無効です,Uno o más de los siguientes parámetros obligatorios faltan o no son válidos
common.toast-device-share-delete-success,Device share successfully deleted,Gerätefreigabe erfolgreich gelöscht,设备共享已成功删除,장치 공유가 성공적으로 삭제되었습니다.,デバイス共有が正常に削除されました,Dispositivo compartido eliminado correctamente
common.toast-device-share-delete-fail,Device share deletion unsuccessful,Löschen der Gerätefreigabe nicht erfolgreich,设备共享删除失败,기기 공유 삭제 실패,デバイス共有の削除に失敗しました,No se pudo eliminar el dispositivo compartido
