name,english,german,mandarin,korean,japanese,spanish
walletActivity.headerTransaction,Transaction,Transaktion,交易,트랜잭션,トランザクション,Transacción
walletActivity.headerFrom,From,Von,从,에서,から,De
walletActivity.from,from,von,从,에서,から,de
walletActivity.headerTo,To,Zu,至,에,に,A
walletActivity.to,to,zu,至,에,に,a
walletActivity.headerAmount,Amount,Menge,量,양,量,Cantidad
walletActivity.headerDate,Date,Datum,日期,데이트,日付,Fecha
walletActivity.headerStatus,Status,Status,状态,상태,状態,Estado
walletActivity.rate,Rate,Bewertung,率,율,割合,Velocidad
walletActivity.network,Network,Netzwerk,网络,회로망,通信網,Red
walletActivity.viewEtherscan,View On Etherscan,Blick auf Etherscan,Etherscan查寻,Etherscan에서보기,Etherscanで表示,Ver en Etherscan
walletActivity.noTransaction,No Transaction Activity,Keine Transaktionsaktivität,没有交易活动,거래 활동이 없습니다,トランザクション履歴なし,Sin actividad de transacción
walletActivity.transactionActivities,Transaction Activities,Transaktionsaktivitäten,交易活动,거래 활동,トランザクション履歴,Actividades de transacción
walletActivity.sent,Sent,Geschickt,已发送,보냄,送信済,Expedido
walletActivity.received,Received,Empfangen,已收到,받았습니다,受信済,Recibido
walletActivity.successful,Successful,Erfolgreich,成功,성공한,成功した,Exitoso
walletActivity.unsuccessful,Unsuccessful,Erfolglos,不成功,실패,失敗した,Fracasado
walletActivity.pending,Pending,steht aus,待定,대기 중,保留中,Pendiente
walletActivity.loading,Loading,Wird geladen,载入中,로딩,読み込み中,Cargando
walletActivity.cancelling,Cancelling,Stornieren,取消,취소,キャンセル,Cancelado
walletActivity.cancelled,Cancelled,Abgesagt,取消,취소 된,キャンセル,Cancelado
walletActivity.allTransactions,All Transactions,Alle Transaktionen,所有交易,모든 거래 창구,すべての取り引き,Todas las transacciones
walletActivity.send,Send,Senden,发送,보내다,送る,Enviar
walletActivity.receive,Receive,Erhalten,接收,받다,受け取る,Recibir
walletActivity.topup,Topup,Aufladen,充值,충전,チャージ,Recarga
walletActivity.all,All,Alle,所有,모두,すべて,Todas
walletActivity.lastOneWeek,Last 1 week,Letzte 1 Woche,最近1周,지난 1 주,過去1週間,Última semana
walletActivity.lastOneMonth,Last 1 month,Letzten 1 Monat,最近1个月,지난 1 개월,過去1か月,Último mes
walletActivity.lastSixMonts,Last 6 months,Letzte 6 Monate,最近6个月,지난 6 개월,過去6か月,Últimos 6 meses
walletActivity.startedAt,Started at,Begonnen um,开始于,에서 시작,で開始,Empezó a las
walletActivity.sendTo,Send to,Senden an,发给,보내기,に送る,Enviar a
walletActivity.rate,Rate,Bewertung,率,율,レート,Velocidad
walletActivity.amount,Amount,Menge,量,양,量,Cantidad
walletActivity.netword,Network,Netzwerk,网络,회로망,ネットワーク,Red
walletActivity.viewOnEtherscan,View On Etherscan,Blick auf Etherscan,在Etherscan上查看,Etherscan에서보기,Etherscanで確認,Ver en Etherscan
walletActivity.receiveFrom,Receive from,Erhalten von,收到,수신,から受信,Recibir de
walletActivity.unavailable,Unavailable,Nicht verfügbar,不可用,없는,利用できません,No disponible
walletActivity.external,External,Extern,外部,외부,外部,Externo
walletActivity.externalTransaction,External transaction,Externe Transaktion,对外交易,외부 거래,外部取引,Transacción externa
walletActivity.approved,Approved,Genehmigt,已批准,승인,承認済み,Aprobado
walletActivity.finalized,Finalized,Abgeschlossen,定稿,확정,完成,Finalizado
walletActivity.confirmed,Confirmed,Bestätigt,确认的,확인됨,確認済み,Confirmado
walletActivity.failed,Failed,Fehlgeschlagen,失败的,실패한,失敗した,Fallido
walletActivity.processed,Processed,Verarbeitet,处理,처리됨,処理済み,Procesada
walletActivity.rejected,Rejected,Abgelehnt,拒绝,거부됨,拒否されました,Rechazado
walletActivity.signed,Signed,Unterzeichnet,签,서명,署名,Firmado
walletActivity.submitted,Submitted,Eingereicht,已提交,제출 된,提出済み,Presentado
walletActivity.unapproved,Unapproved,Nicht genehmigt,未通过,승인되지 않음,未承認,No aprobado
walletActivity.dropped,Dropped,Fallen gelassen,掉落,떨어졌다,ドロップ,Abandonó
walletActivity.expired,Expired,Abgelaufen,已到期,만료됨,期限切れ,Caducado
walletActivity.unknown,Unknown,Unbekannt,未知,알려지지 않은,わからない,Desconocido
walletActivity.contractInteraction,Contract Interaction,Vertragsinteraktion,合约互动,계약 상호 작용,契約の相互作用,Interacción contractual
walletActivity.contractDeployment,Contract Deployment,Vertragsbereitstellung,合同部署,계약 배포,契約の展開,Despliegue de contrato
walletActivity.cancelModalTitle,Transaction cancellation,Transaktionsstornierung,交易取消,거래 취소,取引のキャンセル,Cancelación de transacción
