name,english,german,mandarin,korean,japanese,spanish
login.welcome,Welcome to,Willkommen zu,欢迎来到,환영합니다,へようこそ,Bienvenido a
login.message,You are just one step away from your digital wallet,Sie sind nur einen Schritt von Ihrer digitalen Geldbörse entfernt,您距数字钱包仅一步之遥,디지털 지갑에서 한 걸음 떨어져 있습니다,デジタルウォレットを手に入れる最初のステップです。,A un sólo paso de tu billitera virtual
login.signIn,Sign in with,Melden Sie sich mit an,登陆使用,으로 로그인,でサインイン,Inicia sesión con
login.title,Your blockchain wallet in one click,Ihre Blockchain -Brieftasche in einem Klick,您的区块链钱包一键,한 번의 클릭으로 블록 체인 지갑,ワンクリックでブロックチェーンウォレット,Su billetera blockchain en un solo clic
login.or,or,oder,要么,또는,または,0
login.loginWith,Login with,Einloggen mit,登入,로 로그인,でログイン,Inicia sesión con
login.acceptTerms,"By logging in, you accept Torus'",Mit dem Einloggen akzeptierst du Torus ',登录后，您接受Torus',로그인하면 Torus '에 동의합니다,Torus の「利用規約」に同意してログインする,"Al iniciar sesión, acepto los términos de Torus"
login.termsAndConditions,Terms and Conditions,Geschäftsbedingungen,条款和条件,이용 약관,利用規約,Términos y Condiciones
login.noteFirstTime,"Note : For first time users, kindly","Hinweis: Für Erstanwender, bitte",注意：对于初次使用的用户，请,참고 : 처음 사용하시는 분은 친절하게,注：初めてのユーザーは、親切に,"Nota: Para usuarios primerizos, por favor"
login.enablePopups,enable Pop-ups,Popups aktivieren,启用弹出窗口,팝업 활성화,ポップアップを有効にする,permite Pop-ups
login.gainAccess,to gain access to your Torus Wallet,um Zugriff auf Ihre Torus-Brieftasche zu erhalten,进入您的Torus钱包,Torus Wallet에 액세스,Torus Walletにアクセスするため,para acceder a tu billetera de Torus
login.beenLoggedOut,You are logged out,Sie sind abgemeldet,您已登出,로그 아웃했습니다,ログアウトしました,Haz cerrado sesión
login.returnHome,Return Home,Nach Hause zurückkehren,返回主页,홈페이지로 돌아 가기,ホームページに戻る,Regresar a Home
login.frictionless,One-Click login for Web 3.0,One-Click-Login für Web 3.0,一键登录Web 3.0,Web 3.0에 대한 원 클릭 로그인,Web 3.0のワンクリックログイン,Inicio de sesión para Web 3.0 con un sólo click
login.forDapps,for DApps,für DApps,迅速登录,마찰없는 로그인,DAppsへ,para DApps
login.simpleSecure,A simple and secure gateway to the decentralized ecosystem via Google OAuth logins,Ein einfaches und sicheres Tor zum dezentralen Ökosystem über OAuth-Logins,通过OAuth登录到分散式生态系统的简单安全网关,OAuth 로그인을 통해 탈 중앙화 된 에코 시스템으로 간단하고 안전한 게이트웨이,OAuthログインによる分散型エコシステムへのシンプルで安全なゲートウェイ,Simple y segura vía para el ecosistema decentralizado con Google OAuth logins
noDataText,No data available,Keine Daten vorhanden,没有数据,데이터가 없습니다.,取引履歴はありません,No hay información disponible
login.signUpEmail,Sign up/in with Email,E-Mail anmelden,使用电子邮件注册/登录,이메일로 가입 / 로그인,メールでサインアップ/サインイン,Inicia sesión con Email
login.signUpBiometrics,Sign up/in with biometrics,Biometrische anmelden,生物识别注册/登录,생체 인식 가입 / 로그인,生体認証サインイン,Inicio de sesión biométrico
login.signUpPhone,Sign up / in with Phone,Mit Telefon anmelden / anmelden,使用手机注册/登录,전화로 가입 / 로그인,電話でサインアップ/サインイン,Inicia sesión con móvil
