name,english,german,mandarin,korean,japanese,spanish
walletTransfer.selectItem,Select item to transfer,Wählen Sie den zu übertragenden Artikel aus,选择要转移的项目,전송할 항목 선택,転送するアイテムを選択します,Seleccionar artículo para transferir
walletTransfer.tokens,TOKENS,TOKENS,代币,토큰,トークン,TOKENS
walletTransfer.collectibles,COLLECTIBLES,SAMMLUNG,收藏品,수집품,コレクション,COLECCIONABLES
walletTransfer.accountBalance,Account Balance,Kontostand,账户余额,계정 잔액,残高,Balance de Cuenta
walletTransfer.transferMode,Send to,Senden an,发给,로 전송,に送る,Enviar a
walletTransfer.youSend,You send,Du sendest,您发送,당신은 보내,送信額,Envías
walletTransfer.sendAll,Send All,Sende alle,全部发送,모두 보내기,すべて送る,Enviar todo
walletTransfer.totalCost,Total Cost,Gesamtkosten,总计花费,총 비용,総額,Costo Total
walletTransfer.totalCostEstimate,Estimated Total Cost,Geschätzte Gesamtkosten,估计总费用,예상 총 비용,推定総費用,Costo total estimado
walletTransfer.next,Next,Nächster,下一个,다음,次,Próximo
walletTransfer.advancedOptions,Advanced Options,Erweiterte Optionen,高级选项,고급 옵션,詳細設定,Opciones Avanzadas
walletTransfer.customizeGas,Customize Gas,Fertigen Sie Gas besonders an,定制气体,가스를 주문을 받아서 만드십시오,Gasをカスタマイズ,Personalizar Gas
walletTransfer.gasPrice,Gas Price,Gaspreis,汽油价格,가스 가격,ガスプライス,Precio del Gas
walletTransfer.gasPriceDesc1,Gas,Gas,汽油,가스,Gas,Gas
walletTransfer.gasPriceDesc2,is needed to power blockchain transactions,wird für Blockchain-Transaktionen benötigt,需要推动区块链交易,블록 체인 거래를 강화하는 데 필요합니다,トランザクションを実行するために必要です,es requerido para establecer transacciones en Blockchain
walletTransfer.gasPriceDesc3,Gas Price,Gaspreis,汽油价格,가스 가격,ガスプライス（GWEI）,Precio del Gas
walletTransfer.gasPriceDesc4,is the amount per unit Gas to pay for a transaction. It is measured in ‘Gwei’.,"ist der Betrag pro Einheit Gas, der für eine Transaktion zu zahlen ist. Es wird in „Gwei“ gemessen.",是每笔交易的汽油支付的金额。单位为“ Gwei”。,거래 당 지불 할 단위 가스 당 금액입니다. ‘Gwei’로 측정됩니다.,トランザクションに実行するGasあたりの手数料です。単位を「Gwei」で表します。,Es el monto de gas por transacción. Se mide con unidades de 'Gwei'
walletTransfer.gasPriceDesc5,very small USD value,sehr kleiner USD-Wert,美元价值低,매우 작은 USD 가치,少額の米ドル価格,Valor diminuto de USD
walletTransfer.enterValue,Enter Value,Wert eingeben,输入值,값을 입력하십시오,値を入力,Ingresa el Valor
