name,english,german,mandarin,korean,japanese,spanish
walletTopUp.selectProvider,Select a Provider,Wählen Sie einen Anbieter,选择供应商,공급자를 선택하십시오,プロバイダーを選択,Selecciona un Proveedor
walletTopUp.purchaseVia,Purchase Cryptocurrency via,Kauf Cryptocurrency über,通过购买加密货币,통해 암호 화폐 구매,暗号通貨を購入する,Comprar Cryptomoneda con
walletTopUp.description,is a secure way to buy cryptocurrency with your payment method. Start by entering an amount below to get a quote before making a purchase,"ist eine sichere Möglichkeit, Kryptowährung mit Ihrer Zahlungsmethode zu kaufen. Geben Sie zunächst einen Betrag ein, um ein Angebot zu erhalten, bevor Sie einen Kauf tätigen",是一种通过付款方式购买加密货币的安全方法。首先在购买时输入以下金额以获取报价,귀하의 지불 방법으로 암호 화폐를 구매하는 안전한 방법입니다. 구매하기 전에 아래 금액을 입력하여 견적을 받으십시오.,は、暗号通貨を購入する安全なサービスです。以下に購入希望額を入力して、金額に間違いがないか確認の上、購入手続きを進めてください。,es una forma segura de comprar cryptomonedas. Empieza por ingresar un monto para obtener una cuota antes de comprar
walletTopUp.wannaBuy,You buy,Sie kaufen,你买,지불,通貨の種類,Compras
walletTopUp.youSend,You pay,Sie bezahlen,付款,당신은 보내,支払金額,Pagas
walletTopUp.includes,Includes,Beinhaltet,包括,포함,含む,Incluye
walletTopUp.doesntInclude,Doesn't Include,Beinhaltet nicht,不包括,포함되지 않습니다,含まない,No incluye
walletTopUp.serviceFee,Service Fee,Servicegebühr,服务费,서비스 요금,サービス料,Cuota de servicio
walletTopUp.serviceFeeDesc1,This fee goes entirely to,Diese Gebühr geht vollständig an,这笔费用全部用于,이 수수료는 전적으로,この料金は完全に,Esta cuota va directamente a 
walletTopUp.serviceFeeDesc2,"for their services in card processing, mitigation and fraud detection","für ihre Dienstleistungen in den Bereichen Kartenverarbeitung, Schadensbegrenzung und Betrugserkennung",在卡处理，缓解和欺诈检测方面的服务,"카드 처리, 완화 및 사기 탐지 서비스",カード処理、緩和、不正検出のサービスに対して,por sus servicios con procesamiento de tarjetas
walletTopUp.serverSize,Server Size,Servergröße,服务器大小,서버 크기,サーバーサイズ,Tamaño del servidor
walletTopUp.waitFetch,Please wait while we fetch fresh quote prices.,"Bitte warten Sie, während wir neue Angebotspreise abrufen.",我们正在获取新的报价，请稍候。,새로운 견적 가격을 가져오는 동안 잠시 기다려 주십시오.,新鮮な見積もり価格を取得するまでお待ちください。,Espere mientras buscamos nuevos precios de cotización.
walletTopUp.includesTransactionCost,Includes transaction cost of,Beinhaltet Transaktionskosten von,包括交易成本,의 거래 비용을 포함합니다.,の取引費用を含む,Incluye el costo de transacción de
