name,english,german,mandarin,korean,japanese,spanish
passwordless.loading,Loading,Wird geladen,加载中,로딩 중,読み込み中,Cargando
passwordless.error-boundary-title,Server unable to process request. Redirecting.,Server kann Anfrage nicht verarbeiten. Umleitung.,服务器无法处理请求。 重定向。,서버가 요청을 처리할 수 없습니다. 리디렉션 중.,サーバーはリクエストを処理できません。 リダイレクト。,El servidor no puede procesar la solicitud. Redirigiendo.
passwordless.error-boundary-btn-home,Click here to go home,"Klicken Sie hier, um nach Hause zu gehen",点击这里回家,집으로 이동하려면 여기를 클릭하세요,家に帰るにはここをクリック,Presione aqui para ir a la pagina de inicio
passwordless.error-something-wrong-error,Something went wrong,Etwas ist schief gelaufen,出问题了,문제가 발생했습니다.,何かがうまくいかなかった,Algo salió mal
passwordless.loader-logging-in,Logging you in,Ich melde dich an,登录,로그인,ログインします,Iniciar sesión
passwordless.loader-done,Done,Erledigt,完毕,완료,終わり,Hecho
passwordless.loader-done-note,Close this and return to your previous window,Schließen Sie dieses und kehren Sie zu Ihrem vorherigen Fenster zurück,关闭它并返回上一个窗口,이것을 닫고 이전 창으로 돌아가십시오.,これを閉じて、前のウィンドウに戻ります,Cierra esto y vuelve a tu ventana anterior
passwordless.loader-not-done-note,We will be there in a few seconds,Wir sind in wenigen Sekunden da,我们将在几秒钟内到达,우리는 몇 초 안에 거기에있을 것입니다,数秒で到着します,Estaremos allí en unos segundos
passwordless.start-something-wrong-error,Something went wrong,Etwas ist schief gelaufen,出问题了,문제가 발생했습니다.,何かがうまくいかなかった,Algo salió mal
passwordless.start-something-wrong-sub,Unexpected error.,Unerwarteter Fehler.,意外的错误。,예기치 않은 오류.,予期しないエラー。,Error inesperado.
passwordless.start-magic-link-error,Magic link expired,Magic-Link abgelaufen,魔法链接已过期,매직 링크 만료,マジックリンクの有効期限が切れました,Enlace mágico caducado
passwordless.start-link-error,The link has expired. Kindly login again to get a new link,"Der Link ist abgelaufen. Bitte melden Sie sich erneut an, um einen neuen Link zu erhalten",该链接已过期。再次登录以获取新链接,링크가 만료되었습니다. 새로운 링크를 얻으려면 다시 로그인하십시오,リンクの有効期限が切れています。もう一度ログインして、新しいリンクを取得します,"El enlace ha expirado. Por favor, inicie sesión nuevamente para obtener un nuevo enlace"
passwordless.start-link-sub,Timeout,Auszeit,超时,시간 초과,タイムアウト,Se acabó el tiempo
passwordless.start-invalid-url-error,Invalid authentication url,Ungültige Authentifizierungs-URL,验证网址无效,잘못된 인증 URL,無効な認証URL,URL de autenticación no válida
passwordless.start-invalid-url-sub,Url contains invalid params,URL enthält ungültige Parameter,网址包含无效参数,URL에 잘못된 매개변수가 있습니다.,URLに無効なパラメータが含まれています,La URL contiene parámetros no válidos
passwordless.start-resend-subtitle,Request to send another email to continue with verification.,"Fordern Sie an, eine weitere E-Mail zu senden, um mit der Bestätigung fortzufahren.",请求发送另一封电子邮件以继续验证。,확인을 계속하려면 다른 이메일을 보내도록 요청하세요.,確認を続行するには、別のメールを送信するようにリクエストしてください。,Solicite enviar otro correo electrónico para continuar con la verificación.
passwordless.start-resend-btn,Resend email,E-Mail zurücksenden,重发电子邮件,이메일 재전송,メールを再送,Reenviar email
passwordless.start-verification-title,Verification,Überprüfung,确认,확인,検証,Verificación
passwordless.start-verification-subtitle1,Please verify your email,Bitte bestätige deine E-Mail,请验证您的电子邮件,이메일을 확인하세요,メールアドレスを確認してください,Verifique su correo electrónico
passwordless.start-verification-subtitle2,An email has been sent to,Eine email wurde gesendet an,一封电子邮件已经发送至,로 이메일이 전송되었습니다.,メールがに送信されました,Se ha enviado un correo electrónico a
passwordless.start-verification-subtitle3,Please verify your email to continue.,"Bitte bestätigen Sie Ihre E-Mail, um fortzufahren.",请验证您的电子邮件以继续。,계속하려면 이메일을 확인하세요.,続行するには、メールアドレスを確認してください。,Verifique su correo electrónico para continuar.
passwordless.start-verification-btn-toinbox,Go to my inbox,Gehe zu meinem Posteingang,转到我的收件箱,내 받은 편지함으로 이동,受信トレイに移動します,Ir a mi bandeja de entrada
passwordless.start-verification-subtitle4,Did not get the email?,Hast du die E-mail nicht bekommen?,没收到邮件吗？,이메일을받지 못했습니까?,メールは届きませんでしたか？,no recibiste el email?
passwordless.verify-invalid-link-error,Invalid link,Ungültiger Link,无效的链接,유효하지 않은 링크,無効なリンク,Enlace inválido
passwordless.verify-invalid-link-info,Invalid params found in link,Ungültige Parameter im Link gefunden,在链接中发现无效参数,링크에 잘못된 매개변수가 있습니다.,リンクで無効なパラメータが見つかりました,Se encontraron parámetros no válidos en el enlace
passwordless.verify-invalid-link-tempkey-error,"Invalid link, valid link should contain tempPubKey","Ungültiger Link, gültiger Link sollte tempPubKey enthalten",无效链接，有效链接应包含 tempPubKey,"잘못된 링크, 유효한 링크에는 tempPubKey가 포함되어야 합니다.",無効なリンク、有効なリンクにはtempPubKeyが含まれている必要があります,"Enlace no válido, el enlace válido debe contener tempPubKey"
passwordless.verify-link-expired-error,Link expired,Link abgelaufen,链接已过期,링크 만료됨,リンクの有効期限が切れました,Enlace expirado
passwordless.verify-link-expired-info,Timeout,Auszeit,超时,시간 초과,タイムアウト,Se acabó el tiempo
passwordless.verify-link-expired-guide1,Return to original window to request for a new link,"Kehren Sie zum ursprünglichen Fenster zurück, um einen neuen Link anzufordern",返回原始窗口以请求新链接,새 링크를 요청하려면 원래 창으로 돌아가십시오.,元のウィンドウに戻って、新しいリンクをリクエストします,Regrese a la ventana original para solicitar un nuevo enlace
passwordless.verify-link-expired-guide2,You can close this window,Sie können dieses Fenster schließen,您可以关闭此窗口,이 창을 닫을 수 있습니다,このウィンドウを閉じることができます,Puedes cerrar esta ventana
passwordless.verify-error-error,Something went wrong,Etwas ist schief gelaufen,出问题了,문제가 발생했습니다.,何かがうまくいかなかった,Algo salió mal
passwordless.verify-error-info,Error,Fehler,错误,오류,エラー,Error
passwordless.verify-loggedin,"You are logged in, you can move back to your original tab.","Sie sind eingeloggt, Sie können zu Ihrem ursprünglichen Tab zurückkehren.",您已登录，您可以返回原来的选项卡。,로그인하면 원래 탭으로 돌아갈 수 있습니다.,ログインすると、元のタブに戻ることができます。,"Ha iniciado sesión, puede volver a la pestaña original."
