name,english,german,mandarin,korean,japanese,spanish
login.title,Manage all your web interactions in one place,Verwalten Sie alle Ihre Webinteraktionen an einem Ort,一站式管理所有网络互动,모든 웹 상호 작용을 한 곳에서 관리,すべてのWebインタラクションを1か所で管理します,Administre todas sus interacciones web en un solo lugar
login.subtitle,Click Get Started to continue,"Klicken Sie auf Erste Schritte, um fortzufahren",点击开始以继续,계속하려면 시작하기를 클릭하세요.,[開始]をクリックして続行します,Haga clic en comenzar para continuar
login.start,Get Started,Loslegen,开始使用,시작하다,はじめに,Empezar
login.popup-title,Welcome onboard,Willkommen an Bord,欢迎登机,보드에 오신 것을 환영합니다,ご乗車（搭乗）ありがとうございます,La bienvenida a bordo
login.popup-subtitle,Select how you would like to continue,"Wählen Sie aus, wie Sie fortfahren möchten",选择您想继续的方式,계속할 방법을 선택하십시오.,続行する方法を選択してください,Seleccione cómo le gustaría continuar
login.popup-view-less,View less options,Weniger Optionen anzeigen,查看较少的选项,옵션 간략히보기,少ないオプションを表示,Ver menos opciones
login.popup-view-more,View more options,Weitere Optionen anzeigen,查看更多选项,더 많은 옵션보기,その他のオプションを表示,Ver más opciones
login.popup-terms,Terms of service,Nutzungsbedingungen,服务条款,서비스 약관,利用規約,Términos de servicio
login.popup-continue-existing,Continue with existing {0},Weiter mit vorhandenem {0},继续使用现有的{0},기존 {0} 계속,既存の{0}を続行します,Continuar con {0} existente
login.popup-already,Already have an account?,Sie haben bereits ein Konto?,已经有账户？,이미 계정이 있습니까?,すでにアカウントをお持ちですか？,¿Ya tienes una cuenta?
login.popup-continue,Continue,Fortsetzen,继续,계속하다,継続する,Continuar
login.popup-here,here,Hier,这里,여기,ここに,aquí
login.popup-terms,Terms of use,Nutzungsbedingungen,使用条款,이용 약관,利用規約,Condiciones de uso
login.popup-privacy,Privacy policy,Datenschutz-Bestimmungen,隐私政策,개인 정보 정책,個人情報保護方針,Política de privacidad
login.popup-manage,Manage account,Konto verwalten,管理帐户,계정 관리,アカウントを管理する,Administrar cuenta
login.returning-header-title,Sign in,Einloggen,登入,로그인,サインイン,Registrarse
login.returning-header-desc,Your digital wallet via,Ihre digitale Geldbörse über,您的数字钱包通过,디지털 지갑을 통해,経由であなたのデジタルウォレット,Tu billetera digital a través de
login.returning-sign-in-header1,Use another account,Benutze einen anderen Account,使用其他帐户,다른 계정 사용,別のアカウントを使用する,Usa otra cuenta
login.returning-sign-in-header2,It seems like you are not signed in to an account yet,Anscheinend bist du noch nicht bei einem Konto angemeldet,您似乎尚未登录帐户,아직 계정에 로그인하지 않은 것 같습니다.,アカウントにまだサインインしていないようです,Parece que aún no ha iniciado sesión en una cuenta
login.returning-sign-in-desc,Continue with one of the following to proceed,"Fahren Sie mit einem der folgenden Schritte fort, um fortzufahren",继续执行以下操作之一以继续,계속하려면 다음 중 하나를 계속하십시오.,次のいずれかを続行して続行します,Continúe con uno de los siguientes para continuar
login.returning-exist-title,"Welcome back, {0}","Willkommen zurück, {0}",欢迎回来，{0},다시 오신 것을 환영합니다. {0},おかえりなさい、{0},"Bienvenido de nuevo, {0}"
login.returning-exist-use-another,Use another account,Benutze einen anderen Account,使用其他帐户,다른 계정 사용,別のアカウントを使用する,Usa otra cuenta
login.returning-confirm-title,We just want to be sure.,Wir wollen nur sicher sein.,我们只是想确定一下。,우리는 확신하고 싶습니다.,確認したいだけです。,Solo queremos estar seguros.
login.returning-confirm-desc,Continue your sign in via biometrics?,Mit der Anmeldung über Biometrie fortfahren?,继续通过生物识别登录？,생체 인식을 통해 계속 로그인 하시겠습니까?,生体認証を介してサインインを続行しますか？,¿Continuar con el inicio de sesión mediante datos biométricos?
login.returning-confirm-btn,"Yes, continue with biometrics","Ja, weiter mit Biometrie",是的，继续生物识别,"예, 생체 인식을 계속합니다.",はい、生体認証を続行します,"Sí, continuar con la biometría"
login.returning-continue,Continue with {0},Weiter mit {0},继续{0},{0}로 계속,{0}に進む,Continuar con {0}
login.verifier-google-desc,Continue with Google,Fahren Sie mit Google fort,继续使用Google,Google로 계속,Googleで続行,Continuar con Google
login.verifier-email-placeholder,Email,Email,电子邮件,이메일,Eメール,Correo electrónico
login.verifier-email-desc,Continue with Email,Fahren Sie mit E-Mail fort,继续发送电子邮件,이메일로 계속,メールを続ける,Continuar con el correo electrónico
login.verifier-webauth-desc,Continue with WebAuthn,Fahren Sie mit WebAuthn fort,继续使用WebAuthn,WebAuthn으로 계속,WebAuthnを続行します,Continuar con WebAuthn
login.register-title,Securing your {0} account,Sichern Sie Ihr {0} Konto,保护您的{0}帐户,{0} 계정 보안,{0}アカウントを保護する,Asegurar su cuenta de {0}
login.register-title-try-webauth,Securing your account,Sichern Sie Ihr Konto,保护您的帐户,계정 보안,アカウントを保護する,Asegurar su cuenta
login.register-title-additional-security,One last step before you go,Ein letzter Schritt bevor du gehst,出发前的最后一步,가기 전에 마지막 단계,行く前の最後の一歩,Un último paso antes de irte
login.register-subtitle,Select one of the following,Wählen Sie eine der folgenden Optionen,选择以下之一,다음 중 하나를 선택하십시오.,次のいずれかを選択してください,Selecciona uno de los siguientes
login.register-subtitle-try-webauth,Would you like to enable Touch ID / Face ID on this device?,Möchten Sie die Touch ID / Face ID auf diesem Gerät aktivieren?,您要在此设备上启用Touch ID / Face ID吗？,이 장치에서 Touch ID / Face ID를 활성화 하시겠습니까?,このデバイスでTouchID / Face IDを有効にしますか？,¿Le gustaría habilitar Touch ID / Face ID en este dispositivo?
login.register-subtitle-additional-security,Your account security matters. Let’s back it up.,Die Sicherheit Ihres Kontos ist wichtig. Lass es uns sichern.,您的帐户安全很重要。 让我们支持它。,귀하의 계정 보안이 중요합니다. 백업합시다.,アカウントのセキュリティが重要です。 後押ししましょう。,La seguridad de su cuenta es importante. Hagamos una copia de seguridad.
login.register-biometrics-title,Continue with Face ID or Touch ID,Fahren Sie mit Face ID oder Touch ID fort,继续使用Face ID或Touch ID,Face ID 또는 Touch ID로 계속,FaceIDまたはTouchIDに進む,Continuar con Face ID o Touch ID
login.register-biometrics-desc,Register your device with Face ID or Touch ID. Biometrics never leave your device.,Registrieren Sie Ihr Gerät mit Face ID oder Touch ID. Biometrie verlässt Ihr Gerät nie.,使用面容 ID 或触控 ID 注册您的设备。 生物识别技术永远不会离开您的设备。,Face ID 또는 Touch ID로 기기를 등록하세요. 생체 인식은 장치를 떠나지 않습니다.,デバイスを Face ID または Touch ID で登録します。 生体認証がデバイスから離れることはありません。,Registre su dispositivo con Face ID o Touch ID. La biometría nunca abandona su dispositivo.
login.register-biometrics-enable,Enable Touch ID / Face ID,Aktivieren Sie Touch ID / Face ID,启用触摸ID /面部ID,Touch ID / Face ID 활성화,Touch ID / FaceIDを有効にする,Habilitar Touch ID / Face ID
login.register-backup-phrase-title,Continue with a recovery email,Fahren Sie mit einer Wiederherstellungs-E-Mail fort,继续发送辅助邮箱,복구 이메일로 계속,復旧メールを続行します,Continuar con un correo de recuperación
login.register-backup-phrase-desc,An email will be sent to you containing the backup phrase. It helps you with account recovery in case you lose your device.,"Sie erhalten eine E-Mail mit der Sicherungsphrase. Sie hilft Ihnen bei der Wiederherstellung des Kontos, falls Sie Ihr Gerät verlieren.",包含备用短语的电子邮件将发送给您。如果您丢失了设备，它将帮助您进行帐户恢复。,백업 문구가 포함 된 이메일이 전송됩니다.  기기 분실시 계정 복구에 도움이됩니다.,バックアップフレーズを記載したメールが送信されます。デバイスを紛失した場合のアカウントの復旧に役立ちます。,Se le enviará un correo electrónico con la frase de respaldo. Le ayuda con la recuperación de la cuenta en caso de que pierda su dispositivo.
login.register-backup-phrase-desc1,An email will be sent to you containing the backup phrase.,Sie erhalten eine E-Mail mit der Backup-Phrase.,将向您发送一封包含备份短语的电子邮件。,백업 문구가 포함 된 이메일이 발송됩니다.,バックアップ フレーズを含むメールが送信されます。,Se le enviará un correo electrónico con la frase de respaldo.
login.register-backup-phrase-desc2,It helps you with account recovery in case you lose your device.,"Es hilft Ihnen bei der Kontowiederherstellung, falls Sie Ihr Gerät verlieren.",它可以帮助您在丢失设备时恢复帐户。,기기 분실시 계정 복구에 도움이됩니다.,デバイスを紛失した場合のアカウントの回復に役立ちます。,Le ayuda con la recuperación de la cuenta en caso de que pierda su dispositivo.
login.register-backup-phrase-additional-security-desc1,An email will be sent to you containing the backup phrase.,Sie erhalten eine E-Mail mit der Backup-Phrase.,将向您发送一封包含备份短语的电子邮件。,백업 문구가 포함 된 이메일이 발송됩니다.,バックアップ フレーズを含むメールが送信されます。,Se le enviará un correo electrónico con la frase de respaldo.
login.register-backup-phrase-additional-security-desc2,It helps you with account recovery in case you lose your device with Touch ID / Face ID.,"Es hilft Ihnen bei der Kontowiederherstellung, falls Sie Ihr Gerät mit Touch ID / Face ID verlieren.",如果您丢失带有 Touch ID / Face ID 的设备，它可以帮助您恢复帐户。,Touch ID / Face ID로 기기를 분실 한 경우 계정 복구에 도움이됩니다.,Touch ID / Face ID でデバイスを紛失した場合のアカウント回復に役立ちます。,Le ayuda con la recuperación de la cuenta en caso de que pierda su dispositivo con Touch ID / Face ID.
login.register-backup-phrase-placeholder,Enter recovery email,Geben Sie die Wiederherstellungs-E-Mail ein,输入辅助邮箱,복구 이메일 입력,復旧メールを入力してください,Ingresa el correo de recuperación
login.register-backup-phrase-send,Send recovery email,Wiederherstellungs-E-Mail senden,发送恢复电子邮件,복구 이메일 보내기,復旧メールを送信する,Enviar correo de recuperación
login.register-backup-phrase-confirm-desc1,I confirm that I have received the recovery email.,"Ich bestätige, dass ich die Wiederherstellungs-E-Mail erhalten habe.",我确认我已收到恢复电子邮件。,我确认我已收到恢复电子邮件。,復旧メールを受信したことを確認しました。,Confirmo que he recibido el correo de recuperación.
login.register-backup-phrase-confirm-desc2,"If not,","Wenn nicht,",如果不，,如果不，,そうでない場合は、,"Que no,"
login.register-backup-phrase-confirm-desc3,re-enter recovery email,wiederherstellungs-E-Mail erneut eingeben,重新输入辅助邮箱,복구 이메일 다시 입력,リカバリメールを再入力してください,vuelve a ingresar el correo de recuperación
login.register-password-title,Set up account password,Richten Sie das Kontokennwort ein,设置帐号密码,계정 비밀번호 설정,アカウントのパスワードを設定する,Configurar la contraseña de la cuenta
login.register-password-password,Enter your password,Geben Sie Ihr Passwort ein,输入密码,비밀번호를 입력하세요,パスワードを入力してください,Ingresa tu contraseña
login.register-password-password-confirm,Re-enter your password,Wiederhole die Eingabe deines Passwortes,重新输入密码,비밀번호 재 입력,パスワードを再入力してください,reingresa tu contraseña
login.register-password-confirm,Set up password,Passwort einrichten,设定密码,비밀번호 설정,パスワードを設定する,Configurar contraseña
login.register-continue,Continue,Fortsetzen,继续,계속하다,継続する,Continuar
login.register-skip,Skip for Now,Für jetzt überspringen,立即跳过,일단은 스킵,今はスキップ,Saltar por ahora
login.reconstruct-title,Verify your login,Überprüfen Sie Ihr Login,验证您的登录名,로그인 확인,ログインを確認する,Verifique su inicio de sesión
login.reconstruct-subtitle,Verify with one of the following to access your account,"Überprüfen Sie mit einem der folgenden Punkte, um auf Ihr Konto zuzugreifen",验证以下内容之一以访问您的帐户,계정에 액세스하려면 다음 중 하나로 확인하세요.,アカウントにアクセスするには、次のいずれかで確認してください,Verifique con uno de los siguientes para acceder a su cuenta
login.reconstruct-device-desc,Login to {0} from the stored browser below to verify your identity.,"Melden Sie sich über den unten gespeicherten Browser bei {0} an, um Ihre Identität zu überprüfen.",从下面存储的浏览器登录到{0}以验证您的身份。,아래 저장된 브라우저에서 {0}에 로그인하여 신원을 확인하세요.,以下の保存されているブラウザから{0}にログインして、本人確認を行ってください。,Inicie sesión en {0} desde el navegador almacenado a continuación para verificar su identidad.
login.reconstruct-device-title,Device(s),Geräte,设备,장치,デバイス,Dispositivos
login.reconstruct-device-desc1,Login to,Einloggen in,登录到,로그인,ログインする,Iniciar sesión en
login.reconstruct-device-desc2,from any of the following devices to complete the security verification.,"von einem der folgenden Geräte, um die Sicherheitsüberprüfung abzuschließen.",从以下任何设备中完成安全性验证。,다음 장치 중 하나에서 보안 확인을 완료하십시오.,次のいずれかのデバイスからセキュリティ検証を完了します。,desde cualquiera de los siguientes dispositivos para completar la verificación de seguridad.
login.reconstruct-device-prev1,Login to your,Melden Sie sich bei Ihrem an,登录到您的,귀하의,あなたのログイン,Inicie sesión en su
login.reconstruct-device-prev2,previous version of the Torus Wallet,vorherige Version der Torus-Brieftasche,Torus钱包的先前版本,이전 버전의 토러스 지갑,トーラスウォレットの以前のバージョン,versión anterior de Torus Wallet
login.reconstruct-device-prev3,from the stored browser below to verify your identity.,"über den unten gespeicherten Browser, um Ihre Identität zu überprüfen.",从下面存储的浏览器中验证您的身份。,아래 저장된 브라우저에서 귀하의 신원을 확인하십시오.,以下の保存されているブラウザから本人確認を行ってください。,desde el navegador almacenado a continuación para verificar su identidad.
login.reconstruct-backup-phrase-title,Backup phrase,Sicherungssatz,备用词组,백업 문구,バックアップフレーズ,Frase de respaldo
login.reconstruct-backup-phrase-desc,Enter the backup phrase sent to your recovery email previously.,"Geben Sie den Sicherungssatz ein, der zuvor an Ihre Wiederherstellungs-E-Mail gesendet wurde.",输入先前发送到您的辅助邮箱的备份短语。,이전에 복구 이메일로 전송 된 백업 문구를 입력하십시오.,以前にリカバリメールに送信されたバックアップフレーズを入力します。,Ingrese la frase de respaldo enviada a su correo electrónico de recuperación anteriormente.
login.reconstruct-backup-phrase-desc-2,Verify with your backup phrase that was setup on,"Bestätigen Sie mit Ihrem Backup-Satz, der eingerichtet wurde",确认已设置的备份集,설정된 백업 세트 확인,セットしたバックアップセットを確認する,Compruebe el conjunto de copia de seguridad establecido
login.reconstruct-backup-phrase-desc-3,and sent to email: ,und an E-Mail gesendet:,并发送到电子邮件：,이메일로 전송:,そして電子メールに送られる：,y enviado al correo electrónico:
login.reconstruct-backup-phrase-placeholder,Enter backup phrase,Geben Sie die Sicherungsphrase ein,输入备用词组,백업 문구 입력,バックアップフレーズを入力してください,Ingrese la frase de respaldo
login.reconstruct-password-title,Recovery password,Passwort zum Zurücksetzen,找回密码,복구 암호,回復パスワード,Contraseña de recuperación
login.reconstruct-password-desc,Enter your account recovery password here,Geben Sie hier Ihr Passwort für die Kontowiederherstellung ein,在此处输入您的帐户恢复密码,여기에 계정 복구 비밀번호를 입력하세요.,ここにアカウント回復パスワードを入力してください,Ingrese la contraseña de recuperación de su cuenta aquí
login.reconstruct-password-placeholder,Account password,Konto Passwort,户口密码,계정 비밀번호,アカウントパスワード,Contraseña de la cuenta
login.reconstruct-biometrics-title,Face ID / Touch ID enabled device(s) *,Face ID / Touch ID-fähige Geräte *,支持面部识别/触摸识别的设备*,Face ID / Touch ID 지원 장치 *,Face ID / TouchID対応デバイス*,Dispositivos habilitados con Face ID / Touch ID *
login.reconstruct-biometrics-desc,* Only for Touch ID / Face ID previously set up on the following device(s):,"* Nur für Touch ID / Face ID, die zuvor auf den folgenden Geräten eingerichtet wurden:",*仅适用于先前在以下设备上设置的Touch ID / Face ID：,* 다음 장치에서 이전에 설정 한 Touch ID / Face ID에만 해당됩니다.,*以下のデバイスで以前に設定されたTouchID / Face IDの場合のみ：,* Solo para Touch ID / Face ID configurado previamente en los siguientes dispositivos:
login.reconstruct-biometrics-verify,Verify with Touch ID / Face ID,Überprüfen Sie mit Touch ID / Face ID,使用Touch ID / Face ID进行验证,Touch ID / Face ID로 확인,Touch ID / FaceIDで確認する,Verificar con Touch ID / Face ID
login.reconstruct-fail,Unable to recover account?,Konto kann nicht wiederhergestellt werden?,无法找回帐户？,계정을 복구 할 수 없습니까?,アカウントを回復できませんか？,¿No puede recuperar la cuenta?
login.reconstruct-support,Contact support,Kontaktieren Sie Support,联系支持,연락처 지원,サポート問い合わせ先,Soporte de contacto
login.reconstruct-always-skip,Always skip,Immer überspringen,总是跳过,항상 건너뛰기,常にスキップする,Saltar siempre
login.reconstruct-always-skip-note,"By selecting 'Always skip', you will not be prompted to login to your OpenLogin account again. If you change your mind, you may change this preference anytime in 'Settings'.","Wenn Sie „Immer überspringen“ auswählen, werden Sie nicht aufgefordert, sich erneut bei Ihrem OpenLogin-Konto anzumelden. Wenn Sie Ihre Meinung ändern, können Sie diese Einstellung jederzeit in den ""Einstellungen"" ändern.",通过选择“始终跳过”，您将不会收到再次登录 OpenLogin 帐户的提示。 如果您改变主意，您可以随时在“设置”中更改此首选项。,'항상 건너뛰기'를 선택하면 OpenLogin 계정에 다시 로그인하라는 메시지가 표시되지 않습니다. 마음이 바뀌면 '설정'에서 언제든지 이 환경설정을 변경할 수 있습니다.,[常にスキップ]を選択すると、OpenLoginアカウントに再度ログインするように求められることはありません。 気が変わった場合は、「設定」でいつでもこの設定を変更できます。,"Si selecciona 'Omitir siempre', no se le pedirá que vuelva a iniciar sesión en su cuenta de OpenLogin. Si cambia de opinión, puede cambiar esta preferencia en cualquier momento en 'Configuración'."
login.migrate-title,made simple and secure with,einfach und sicher gemacht mit,变得简单而安全,간단하고 안전하게,シンプルで安全に,hecho simple y seguro con
login.migrate-subtitle,Migrating your tKey,Migrieren Sie Ihren tKey,迁移您的tKey,tKey 마이그레이션,tKeyの移行,Migrar su tKey
login.migrate-desc1,The latest version of Torus Wallet is powered by OpenLogin.,Die neueste Version von Torus Wallet wird von OpenLogin unterstützt.,最新版本的Torus Wallet由OpenLogin提供支持。,최신 버전의 Torus Wallet은 OpenLogin에 의해 구동됩니다.,Torus Walletの最新バージョンは、OpenLoginを利用しています。,La última versión de Torus Wallet funciona con OpenLogin.
login.migrate-desc21,To enjoy the latest features of the Torus Wallet,Genießen Sie die neuesten Funktionen der Torus-Brieftasche,享受Torus钱包的最新功能,Torus Wallet의 최신 기능을 즐기려면,トーラスウォレットの最新機能をお楽しみください,Para disfrutar de las últimas funciones de Torus Wallet
login.migrate-desc22,kindly verify your identity on this new version,Bitte überprüfen Sie Ihre Identität in dieser neuen Version,请在此新版本上验证您的身份,이 새 버전에서 신원을 확인하십시오.,この新しいバージョンであなたの身元を確認してください,por favor verifique su identidad en esta nueva versión
login.migrate-list1,Supports Face ID / Touch ID,Unterstützt Face ID / Touch ID,支持面部识别/触摸识别,Face ID / Touch ID 지원,Face ID / TouchIDをサポート,Soporta Face ID / Touch ID
login.migrate-list2,Secured by SSO and device,Durch SSO und Gerät gesichert,由SSO和设备保护,SSO 및 장치로 보호,SSOとデバイスによって保護されています,Asegurado por SSO y dispositivo
login.migrate-list3,Protected user Data and Privacy,Geschützte Benutzerdaten und Datenschutz,受保护的用户数据和隐私,보호 된 사용자 데이터 및 개인 정보,保護されたユーザーデータとプライバシー,Privacidad y datos de usuario protegidos
login.migrate-continue,Continue,Fortsetzen,继续,계속하다,継続する,Continuar
login.2fa-setup-title1,Secure your account,Sichern Sie Ihr Konto,保护您的帐户,계정 보안,アカウントを保護する,Asegure su cuenta
login.2fa-setup-title12,Set up 2 Factor Authentication,2-Faktor-Authentifizierung einrichten,设置 2 因素身份验证,2단계 인증 설정,2要素認証を設定する,Configurar autenticación de 2 factores
login.2fa-setup-title2,Set up 2FA,2FA einrichten,设置 2FA,2FA 설정,2FAを設定する,Configurar 2FA
login.2fa-setup-title21,Step 1: Save your device,Schritt 1: Speichern Sie Ihr Gerät,第 1 步：保存您的设备,1단계: 기기 저장,ステップ1：デバイスを保存する,Paso 1: Guarde su dispositivo
login.2fa-setup-title3,Save recovery phrase,Wiederherstellungsphrase speichern,保存恢复短语,복구 문구 저장,回復フレーズを保存する,Guardar frase de recuperación
login.mpc-2fa-setup-title3,Save recovery factor,Wiederherstellungsphrase speichern,保存恢复短语,복구 문구 저장,回復フレーズを保存する,Guardar frase de recuperación
login.2fa-setup-title31,Step 2: Save recovery phrase,Schritt 2: Speichern Sie die Wiederherstellungsphrase,第 2 步：保存恢复短语,2단계: 복구 문구 저장,ステップ2：リカバリフレーズを保存する,Paso 2: Guarda la frase de recuperación
login.2fa-setup-title32,Step 3: Verify Recovery Phrase,Schritt 3: Überprüfen Sie die Wiederherstellungsphrase,第 3 步：验证恢复短语,3단계: 복구 문구 확인,ステップ3：リカバリフレーズを確認する,Paso 3: Verificar la frase de recuperación
login.2fa-setup-title4,Recovery verification,Wiederherstellungsüberprüfung,恢复验证,복구 확인,回復の検証,Verificación de recuperación
login.2fa-setup-title5,2FA activated,2FA aktiviert,2FA 激活,2FA 활성화,2FAがアクティブ化,2FA activado
