name,english,german,mandarin,korean,japanese,spanish
walletHome.transfer,Transfer,Transfer,传递,이전,送金,Transferir
walletHome.topUp,Top up,Nachfüllen,充值,위로,チャージ,Depositar
walletHome.getEth,Get ETH,Holen Sie sich die ETH,获取ETH,ETH 받기,ETHを取得,Obtener ETH
walletHome.totalValue,TOTAL VALUE,GESAMTWERT,总价值,총 가치,総額,VALOR TOTAL
walletHome.welcome,Welcome to,Willkommen zu,欢迎来到,에 오신 것을 환영합니다,へようこそ,Bienvenido a
walletHome.learnMore,Learn more,Erfahren Sie mehr,更多详情,더 알아보기,もっと詳しく知る,Aprende más
walletHome.aboutWallet,about your wallet today,über deine Brieftasche heute,今天关于你的钱包,오늘 지갑에 대해,あなたのウォレット,Acerca de tu billetera
walletHome.lastUpdate,Last update,Letztes Update,最后更新,마지막 업데이트,最終更新日,últimas actualizaciones
walletHome.currency,CURRENCY,WÄHRUNG,货币,통화,通貨,MONEDA
walletHome.tokens,Tokens,Tokens,代币,토큰,トークン,Tokens
walletHome.collectibles,Collectibles,Sammlerstücke,收藏品,수집품,コレクション,Collecionables
walletHome.home,Home,Startseite,主页,홈페이지,ホーム,Home
walletHome.copy,Copied,Kopiert,复制的,복사,コピーされました,Copiado
walletHome.copyToClipboard,Copy to clipboard,In die Zwischenablage kopieren,复制到剪贴板,클립 보드에 복사,クリップボードにコピー,Copiado al portapapeles
walletHome.close,Close,Schließen,关,닫기,閉じる,Cerrar
walletHome.getFirstNFT,Get your first NFT!,Holen Sie sich Ihre erste NFT!,获取您的第一个 NFT！,첫 NFT를 받으세요!,初めてのNFTを手に入れよう！,¡Consigue tu primer NFT!
walletHome.holaplex,Check out Holaplex here,Schau dir Holaplex hier an,在这里查看 Holaplex,여기에서 Holaplex를 확인하십시오,ここでHolaplexをチェックしてください,Echa un vistazo a Holaplex aquí
walletHome.moreInformation,More Information,Mehr Informationen,更多信息,추가 정보,詳しくは,Más información
walletHome.moreInfo,More Info,Mehr Informationen,更多信息,추가 정보,詳細,Más información
walletHome.lessInfo,Less Info,Weniger Informationen,较少的信息,적은 정보,概要,Menos información
walletHome.viewMore,view more,mehr sehen,查看更多,더보기,もっと見る,ver más
walletHome.viewLess,view less,weniger anzeigen,少看,적게보기,表示を減らす,ver menos
walletHome.description,Description,Beschreibung,描述,기술,説明,Descripción
walletHome.curious,Curious about how to get Tokens?,"Neugierig, wie man Tokens bekommt?",好奇如何获得代币？,토큰을 얻는 방법이 궁금하십니까?,トークンを取得するには？,Obtén más información sobre cómo obtener tokens.
walletHome.buyThem,Buy them here,Kaufen Sie sie hier,在这里买,여기에서 구입,ここで購入する,Puedes comprarlos aquí
walletHome.downloadQR,Download QR,Laden den QR-Code herunter,下载二维码,QR 코드 다운로드,QRコードをダウンロード,Bajar QR Code
walletHome.gettingStarted,Getting Started,Beginnen,开始,시작하기,開始,Empezar
walletHome.gettingStartedDesc,Here are some key terms to guide you along,"Hier sind einige Schlüsselbegriffe, die Ihnen dabei helfen sollen",以下是一些指导您前进的关键术语,다음은 몇 가지 주요 용어를 안내합니다.,ここにあなたを導くいくつかの重要な用語があります,Aquí términos claves para ayudarte
walletHome.whatIs,What is,Was ist,什么是,뭐가,とは,Qué es
walletHome.whatIsDesc,Torus is a key management solution that aims to provide an easy access to services running on Blockchain.,"Torus ist eine Schlüsselverwaltungslösung mit dem Ziel, einen einfachen Zugriff auf Dienste zu ermöglichen, die in Blockchain ausgeführt werden.",Torus是一个关键管理解决方案，旨在提供对在区块链上运行的服务的轻松访问。,Torus는 블록 체인에서 실행되는 서비스에 쉽게 액세스 할 수 있도록하는 핵심 관리 솔루션입니다.,トーラスは、ブロックチェーンで実行されているサービスへの簡単なアクセスを提供することを目的とする重要な管理ソリューションです。,Torus es una solución para administrar llaves que busca proveer un fácil acceso a los servicios en Blockchain.
walletHome.knowYourWallet,Know your Wallet Address,Kennen Sie Ihre Brieftasche Adresse,知道你的钱包地址,지갑 주소를 알고,ウォレットアドレスを確認する,Conoce la dirección de tu billetera
walletHome.knowYourWalletDesc,A wallet address is similar to a bank account number. It's a unique combination of letters and numbers that looks like this: 0x09438E46Ea66647EA65E4b104C125c82076FDcE5,"Eine Brieftaschenadresse ähnelt einer Bankkontonummer. Es ist eine eindeutige Kombination aus Buchstaben und Zahlen, die so aussieht: 0x09438E46Ea66647EA65E4b104C125c82076FDcE5",钱包地址类似于银行帐号。它是字母和数字的独特组合，如下所示：0x09438E46Ea66647EA65E4b104C125c82076FDcE5,지갑 주소는 은행 계좌 번호와 유사합니다. 다음과 같은 문자와 숫자의 고유 한 조합입니다. 0x09438E46Ea66647EA65E4b104C125c82076FDcE5,ウォレットアドレスは、銀行口座番号のようなものです。次のような文字と数字のユニークな組み合わせです：0x09438E46Ea66647EA65E4b104C125c82076FDcE5,La dirección de la billetera es similar al número de cuenta bancario. Es un código único alfanúmerico como este: 0x09438E46Ea66647EA65E4b104C125c82076FDcE5
walletHome.getDigital,Get Digital Currency and Tokens,Holen Sie sich digitale Währung und Token,获取数字货币和代币,디지털 통화 및 토큰 받기,仮想通貨を取得する,Obtén Monedas Digitales y Tokens
walletHome.getDigitalDesc,You can share your wallet address with others to receive digital currency and tokens.,"Sie können Ihre Brieftaschenadresse mit anderen teilen, um digitale Währung und Token zu erhalten.",您可以与他人共享您的钱包地址，以接收数字货币和令牌。,지갑 주소를 다른 사람과 공유하여 디지털 통화 및 토큰을받을 수 있습니다.,ウォレットアドレスを共有して、仮想通貨を送金してもらえます。,Puedes compartir tu dirección de billetera con otros para recibir monedas digitales y tokens.
walletHome.privacySecurity,Privacy and Security,Privatsphäre und Sicherheit,隐私权与安全性,개인 정보 및 보안,プライバシーとセキュリティ,Privacidad y Seguridad
walletHome.privacySecurityDesc,Your Privacy are our top priority,Ihre Privatsphäre hat für uns oberste Priorität,您的隐私是我们的首要任务,당신의 프라이버시는 우리의 최우선입니다,あなたのプライバシーは私たちの最優先事項です,Tu privacidad es nuestra prioridad
walletHome.privateKey,Private Key,Privat Schlüssel,私钥,개인 키,秘密鍵,Llave Privada
walletHome.privateKeyDesc,"This is your password to verify account ownership. Only you are able to access it. If you lose this, you potentially lose ownership of your account and ALL your money.","Dies ist Ihr Passwort, um den Besitz des Kontos zu bestätigen. Nur Sie können darauf zugreifen. Wenn Sie dies verlieren, verlieren Sie möglicherweise den Besitz Ihres Kontos und Ihr gesamtes Geld.",这是您用来验证帐户所有权的密码。只有您可以存取它。如果您把密码弄丢了，则可能会失去帐户所有权和所有资金。,"계정 소유권을 확인하기위한 비밀번호입니다. 당신 만이 접근 할 수 있습니다. 당신이 이것을 잃으면, 당신은 잠재적으로 당신의 계정과 모든 돈의 소유권을 잃게됩니다.",これは、アカウントの所有権を確認するためのパスワードです。Torusではパスワードを管理していません。パスワードをなくした場合、アカウントで管理している全ての資産を失う可能性があります。,"Este es un password para verificar que eres dueño de la cuenta. Sólo tú eres capaz de acceder. Si lo pierdes, potencialmente puedes perder el control y dinero de tu cuenta."
walletHome.accountRecovery,Account Recovery,Konto-Wiederherstellung,帐户恢复,계정 복구,アカウント復旧,Recuperar Cuenta
walletHome.accountRecoveryDesc,Torus uses Google/Facebook 2 Factor-Authentication for account recovery.,Torus verwendet Google / Facebook 2 Factor-Authentication zur Wiederherstellung des Kontos.,Torus使用Google / Facebook 2 Factor-Authentication进行帐户恢复。,Torus는 계정 복구를 위해 Google / Facebook 2 Factor-Authentication을 사용합니다.,Torusは、アカウントの復旧にGoogle / Facebookの二段階認証を利用しています。,Torus usa Google/Facebook 2  Factor-Authentication para recuperar la cuenta
walletHome.yourPublicAddress,Your Public Address,Ihre öffentliche Adresse,您的公开钱包地址,당신의 공개 주소,あなたのウォレットアドレス,Tu dirección pública
walletHome.walletHome,Account Balance,Kontostand,账户余额,계정 잔액,残高,Balance de Cuenta
walletHome.exploreTitle,Get your first item from OpenSea,Holen Sie sich Ihren ersten Artikel bei OpenSea,从OpenSea获取您的第一个项目,OpenSea에서 첫 번째 아이템 받기,日本最大の取引所「Miime」でデジタルアイテムを入手する,Obtén tu primer item en OpenSea 
walletHome.exploreSubtitle,Explore the largest decentralised marketplace for blockchain assets,Entdecken Sie den größten dezentralen Marktplatz für Blockchain-Assets,探索最大的去中心化区块链资产市场,블록 체인 자산을위한 가장 큰 탈 중앙화 시장을 탐색하십시오,日本円でデジタルアイテム が購入可能（クレジット・pring）,Explora el más grande mercado decentralizado de blockchain
walletHome.explore,Explore,Erkunden,探索,탐색,検索,Explorar
walletHome.obSetupTitle,Let us get you set up,Lassen Sie sich von uns einrichten,让我们为您设置,우리가 당신을 설정하자,セットアップしましょう,Prepararemos todo para ti
walletHome.obSetupSubtitle,Select one of the following statements that best describes you.,"Wählen Sie eine der folgenden Aussagen aus, die Sie am besten beschreibt.",选择以下最能描述您的语句之一。,가장 잘 설명 된 다음 설명 중 하나를 선택하십시오.,次の中から、自分に最も当てはまるものを1つ選択してください。, Selecciona cuál opción te describe mejor.
walletHome.obSetupYes,I own digital assets,Ich besitze digitale Assets,我拥有数字资产,나는 디지털 자산을 소유,私はデジタル資産を所有しています,Tengo activos digitales
walletHome.obSetupNo,I do not own digital assets,Ich besitze keine digitalen Assets,我没有数字资产,나는 디지털 자산을 소유하지 않습니다,私はデジタル資産を所有していません,No tengo activos digitales
walletHome.obSetupEg,"E.g: ETH, DAI, Collectibles etc","Zum Beispiel: ETH, DAI, Sammlerstücke usw.",例如：ETH，DAI，收藏品等,"예 : ETH, DAI, 수집품 등",例：ETH、DAI、収集品など,"Por ejemplo: ETH, DAI, Coleccionables, etc"
walletHome.obYesTitle1,Enjoy features like you have always been,Genießen Sie Funktionen wie immer,享受与以往一样的功能,항상 그랬던 것처럼 기능을 즐기십시오,いつものような機能をお楽しみください,Disfruta los beneficios que siempre haz usado.
walletHome.obYesSubtitle1,Send and purchase tokens and collectibles. Import your account to experience the features within your Torus Wallet.,"Senden und kaufen Sie Token und Sammlerstücke. Importieren Sie Ihr Konto, um die Funktionen in Ihrer Torus-Brieftasche zu nutzen.",发送和购买令牌和收藏品。导入您的帐户以体验Torus钱包中的功能。,토큰과 수집품을 보내고 구매하십시오. Torus Wallet 내에서 기능을 사용하려면 계정을 가져 오십시오.,"トークンとコレクションを送信、購入します。
アカウントをインポートすることで、Torus Wallet内の機能を体験できます。",Envía y compra tokens y coleccionables. Importa tu cuenta existente y utiliza los beneficios de Torus.
walletHome.obYesTitle2,Send tokens to your friend's gmail,Senden Sie Token an Google Mail Ihres Freundes,将令牌发送到您朋友的gmail,친구의 Gmail로 토큰 보내기,Gmailを使ってトークンを送信する,Envía tokens utilizando el correo de tus amigos
walletHome.obYesSubtitle2,A feature unique to Torus' Wallet. Do away with long public addresses. A gmail address is all you need to get that cool asset across to your friend.,"Eine Besonderheit von Torus 'Geldbörse. Beseitigen Sie lange öffentliche Adressen. Eine Google Mail-Adresse ist alles, was Sie brauchen, um Ihrem Freund dieses coole Asset zu vermitteln.",Torus钱包独有的功能。删除冗长的公共地址。您只需将gmail地址发送给您的朋友即可。,Torus 월렛 만의 고유 한 기능입니다. 긴 공개 주소를 사용하지 마십시오. Gmail 주소 만 있으면 멋진 자산을 친구에게 전달할 수 있습니다.,Torus Walletの特徴です。長いウォレットアドレスではなく、Gmailを使ってクールなアセットを届けることができます。,Un beneficio único de Toris. No más direcciones largas. Sólo necesitas las dirección de correo de tus contactos para compartir activos digitales
walletHome.obYesOk,"Ok, got it",OK habe es,好的，我知道了,알았어,わかりました！,"Ok, entendido"
walletHome.obNoTitle1,Know your Wallet Address,Kennen Sie Ihre Brieftaschenadresse,知道你的钱包地址,지갑 주소를 알고,ウォレットアドレスを確認,Conoce tu Dirección de Billetera 
walletHome.obNoSubtitle1,A wallet address is similar to a bank account number. It’s a unique combination of letters and numbers that looks like this:,"Eine Brieftaschenadresse ähnelt einer Bankkontonummer. Es ist eine einzigartige Kombination aus Buchstaben und Zahlen, die so aussieht:",钱包地址类似于银行帐号。它是字母和数字的独特组合，如下所示：,지갑 주소는 은행 계좌 번호와 유사합니다. 다음과 같은 문자와 숫자의 고유 한 조합입니다.,ウォレットアドレスは、銀行の口座番号のようなものです。文字と数字の組み合わせで構成されています。,La dirección de la billetera es similar al número de cuenta bancario. Es un código único alfanúmerico como este: 0x09438E46Ea66647EA65E4b104C125c82076FDcE5
walletHome.obNoTitle2,Get Digital Currency and Tokens,Holen Sie sich digitale Währung und Token,获取数字货币和代币,디지털 통화 및 토큰 받기,仮想通貨を入手する,Obtén Monedas Digitales y Tokens
walletHome.obNoSubtitle2,You can share your wallet address with others to receive digital currency and tokens.,"Sie können Ihre Brieftaschenadresse mit anderen teilen, um digitale Währungen und Token zu erhalten.",您可以与他人共享您的钱包地址，以接收数字货币和令牌。,지갑 주소를 다른 사람과 공유하여 디지털 통화 및 토큰을받을 수 있습니다.,ウォレットアドレスを共有して、仮想通貨やトークンを送受信することができます。,Puedes compartir tu dirección de billetera con otros para recibir monedas digitales y tokens.
walletHome.obNoSkip,Skip,Überspringen,跳跃,건너 뛰기,スキップ,Omitir
walletHome.obNoNext,Next,Nächster,下一个,다음,次へ,Siguiente
walletHome.obNo2Title1,Private Key,Privat Schlüssel,私钥,개인 키,秘密鍵,Llave Privada
walletHome.obNo2Subtitle1,"This is your password to verify account ownership. Only you are able to access it. If you lose this, you potentially lose ownership of your account and ALL your money.","Dies ist Ihr Passwort, um den Besitz des Kontos zu Rechte. Nur Sie können daran gehört,. Wenn Sie sterben verlieren, verlieren Sie verlieren den Besitz Ihres Kontos und Ihr gesamtes Geld.",这是您用来验证帐户所有权的密码。只有您可以访问它。如果您输了这笔钱，则可能会失去帐户所有权和所有资金。,"계정 소유권을 확인하기위한 비밀번호입니다. 당신 만이 접근 할 수 있습니다. 당신이 이것을 잃으면, 당신은 잠재적으로 당신의 계정의 소유권과 모든 돈을 잃게됩니다.",これは、アカウントの所有権を確認するためのパスワードです。あなただけがそれにアクセスできます。これを失うと、アカウントとすべてのお金の所有権を失う可能性があります。,"Este es un password para verificar que eres dueño de la cuenta. Sólo tú eres capaz de acceder. Si lo pierdes, potencialmente puedes perder el control y dinero de tu cuenta."
walletHome.obNo2Title2,Account Recovery,Konto-richtet,帐户恢复,계정 복구,アカウント復旧,Recuperación de Cuenta
walletHome.obNo2Subtitle2,Torus uses Google/Facebook 2 Factor-Authentication for account recovery.,Torus verwendet Google / Facebook 2 Faktor-Authentifizierung zur Kontrolle des Kontos.,Torus使用Google / Facebook 2 Factor-Authentication进行帐户恢复。,Torus는 계정 복구를 위해 Google / Facebook 2 Factor-Authentication을 사용합니다.,TorusはGoogle / Facebook 2 Factor-Authenticationを使用してアカウントを復旧します。,Torus usa Google/Facebook 2 Factor-Authentication para recuperar la cuenta.
walletHome.obNoReturnHome,Return Home,Zurück zur Startseite,返回首页,홈페이지로 돌아 가기,ホームページに戻る,Regresar a Home
walletHome.asset,Asset,Anlagegut,资产,유산,資産,Activo
