name,english,german,mandarin,korean,japanese,spanish
webauthn.status-done,Done,Erledigt,完毕,완료,終わり,Hecho
webauthn.status-loading,Loading,Wird geladen,加载中,로딩 중,読み込み中,Cargando
webauthn.status-registered,Device registered,Gerät registriert,设备注册,등록된 기기,登録済みのデバイス,Dispositivo registrado
webauthn.sign-in,Sign in via Touch ID / Face ID?,Über Touch ID / Face ID anmelden?,通过 Touch ID / Face ID 登录？,Touch ID/Face ID로 로그인하시겠습니까?,Touch ID / Face IDでサインインしますか？,¿Iniciar sesión a través de Touch ID / Face ID?
webauthn.registering-device,Registering your device,Registrieren Ihres Geräts,注册您的设备,장치 등록,デバイスの登録,Registro de su dispositivo
webauthn.register-device,Would you like to register this device?,Möchten Sie dieses Gerät registrieren?,您要注册此设备吗？,이 장치를 등록하시겠습니까?,このデバイスを登録しますか？,¿Le gustaría registrar este dispositivo?
webauthn.action-cancel,Cancel,Stornieren,取消,취소,キャンセル,Cancelar
webauthn.action-no,No,Nein,不,아니요,番号,No
webauthn.action-sign-in,Sign In,Einloggen,登入,로그인,ログイン,Registrarse
webauthn.action-yes,Yes,Jawohl,是的,예,はい,sí
webauthn.required-params-note,One or more of the following required parameters is missing,Einer oder mehrere der folgenden erforderlichen Parameter fehlen,缺少以下一项或多项必需参数,다음 필수 매개변수 중 하나 이상이 누락되었습니다.,次の必須パラメーターの1つ以上が欠落しています,Falta uno o más de los siguientes parámetros obligatorios
webauthn.learn-more,Learn more,Mehr erfahren,了解更多,더 알아보기,もっと詳しく知る,Aprende más
webauthn.improve-experience,Improve your experience,Verbessern Sie Ihre Erfahrung,改善您的体验,경험 향상,あなたの経験を向上させる,Mejora tu experiencia
webauthn.browser-not-supported-note,"You are using a browser we do not support. Try one of these options to have a better experience on this application. If you're already using a browser from the below list, Please update to the latest version","Sie verwenden einen von uns nicht unterstützten Browser. Probieren Sie eine dieser Optionen aus, um eine bessere Erfahrung mit dieser Anwendung zu erzielen. Wenn Sie bereits einen Browser aus der folgenden Liste verwenden, aktualisieren Sie bitte auf die neueste Version",您正在使用我们不支持的浏览器。 尝试这些选项之一以获得在此应用程序上的更好体验。 如果您已经在使用以下列表中的浏览器，请更新到最新版本,지원하지 않는 브라우저를 사용하고 있습니다. 이 응용 프로그램에서 더 나은 경험을 얻으려면 다음 옵션 중 하나를 시도하십시오. 아래 목록의 브라우저를 이미 사용 중이라면 최신 버전으로 업데이트하십시오.,サポートされていないブラウザを使用しています。 これらのオプションのいずれかを試して、このアプリケーションのエクスペリエンスを向上させてください。 以下のリストのブラウザをすでに使用している場合は、最新バージョンに更新してください,"Está utilizando un navegador que no admitimos. Pruebe una de estas opciones para tener una mejor experiencia en esta aplicación. Si ya está utilizando un navegador de la siguiente lista, actualice a la última versión"
webauthn.something-wrong-note,Something went wrong,Etwas ist schief gelaufen,出问题了,문제가 발생했습니다.,何かがうまくいかなかった,Algo salió mal
webauthn.missing-params,Missing params,Fehlende Parameter,缺少参数,누락된 매개변수,欠落しているパラメータ,Parámetros faltantes
webauthn.invalid-url,Invalid redirect URI,Ungültiger Weiterleitungs-URI,重定向 URI 无效,잘못된 리디렉션 URI,リダイレクトURIが無効です,URI de redireccionamiento no válido
webauthn.browser-not-supported,Browser not supported,Browser nicht unterstützt,浏览器不支持,지원되지 않는 브라우저,ブラウザはサポートされていません,Navegador no compatible
webauthn.webauthn-not-supported,Webauthn is not supported on this device,Webauthn wird auf diesem Gerät nicht unterstützt,此设备不支持 Webauthn,Webauthn은 이 기기에서 지원되지 않습니다.,このデバイスではWeb認証はサポートされていません,Webauthn no es compatible con este dispositivo
webauthn.user-denied,User has denied authorization,Benutzer hat die Autorisierung verweigert,用户已拒绝授权,사용자가 승인을 거부했습니다.,ユーザーが承認を拒否しました,El usuario ha denegado la autorización
webauthn.operation-timeout,The operation either timed out or was not allowed,Der Vorgang ist entweder abgelaufen oder nicht zulässig,操作超时或不允许,작업 시간이 초과되었거나 허용되지 않았습니다.,操作がタイムアウトしたか、許可されなかった,La operación agotó el tiempo de espera o no se permitió
