name,english,german,mandarin,korean,japanese,spanish
account.title,Account,Konto,帐户,계정,アカウント,Cuenta
account.desc,Manage your OpenLogin settings here,Verwalten Sie hier Ihre OpenLogin-Einstellungen,在此处管理您的OpenLogin设置,여기에서 OpenLogin 설정을 관리하세요.,ここでOpenLogin設定を管理します,Administre su configuración de OpenLogin aquí
account.auth-factors-title,Security Settings,Sicherheitseinstellungen,安全设定,보안 설정,セキュリティ設定,Configuraciones de seguridad
account.auth-factors-subtitle,List of Authentication factors,Liste der Authentifizierungsfaktoren,认证因素清单,인증 요인 목록,認証要素のリスト,Lista de factores de autenticación
account.auth-factors-threshold,Security Factors,Sicherheitsfaktoren,安全因素,보안 요소,セキュリティ要因,Factores de seguridad
account.auth-factors-threshold-factor,{0} Authentication factor,{0} Authentifizierungsfaktor,{0}认证因素,{0} 인증 요소,{0}認証要素,{0} Factor de autenticación
account.auth-factors-threshold-desc,The number of factors to authenticate in order to access your account.,"Die Anzahl der Faktoren, die authentifiziert werden müssen, um auf Ihr Konto zuzugreifen.",要访问您的帐户进行身份验证的因素数量。,계정에 액세스하기 위해 인증 할 요소의 수입니다.,アカウントにアクセスするために認証する要素の数。,La cantidad de factores que se deben autenticar para acceder a su cuenta.
account.auth-factors-device-title,Device(s),Geräte,设备,장치,デバイス,Dispositivos
account.auth-factors-device-desc,These devices are unique factors authorized to access your account.,"Diese Geräte sind einzigartige Faktoren, die für den Zugriff auf Ihr Konto berechtigt sind.",这些设备是被授权访问您的帐户的独特因素。,이러한 장치는 귀하의 계정에 액세스 할 수있는 고유 한 요소입니다.,これらのデバイスは、アカウントへのアクセスを許可された固有の要素です。,Estos dispositivos son factores únicos autorizados para acceder a su cuenta.
account.auth-factors-device-current,Current,Strom,当前的,흐름,電流,Actual
account.auth-factors-device-biometrics,biometrics registered,Biometrie registriert,启用生物识别,생체 인식 활성화,生体認証が有効,biometría registrada
account.auth-factors-enable-biometrics,Enable biometrics,Biometrie aktivieren,生物识别注册,생체 인식 등록,登録されたバイオメトリクス,Habilitar la biometría
account.auth-factors-device-empty,No device shares found,Keine Gerätefreigaben gefunden,未找到设备共享,장치 공유가 없습니다.,デバイス共有が見つかりません,No se encontraron recursos compartidos de dispositivos
account.auth-factors-network,Social logins via Torus nodes,Soziale Anmeldungen über Torus-Knoten,通过Torus节点进行社交登录,Torus 노드를 통한 소셜 로그인,Torusノードを介したソーシャルログイン,Inicios de sesión sociales a través de nodos Torus
account.auth-factors-email,Recovery email,Wiederherstellungs-E-Mail,辅助邮箱,복구 이메일,回復メール,Correo electrónico de recuperación
account.auth-factors-recovery-phrase,Recovery phrase,Wiederherstellungsphrase,恢复短语,복구 문구,回復フレーズ,Frase de recuperación
account.mpc-auth-factors-recovery-phrase,Recovery factor,Erholungsfaktor,恢复系数,회복 계수,回収率,Factor de recuperación
account.auth-factors-email-old,Recovery email (existing),Wiederherstellungs-E-Mail (vorhanden),辅助邮箱（现有）,복구 이메일 (기존),復旧メール（既存）,Correo electrónico de recuperación (existente)
account.auth-factors-email-sent,Sent,Geschickt,发送,보냄,送信済み,Enviado
account.auth-factors-email-sent-to,Sent to {0},Gesendet an {0},发送到{0},{0}에게 보냄,{0}に送信,Enviado a {0}
account.auth-factors-downloaded-on,Downloaded on {0},Heruntergeladen am {0},于 {0} 下载,{0}에 다운로드됨,{0}にダウンロード,Descargado el {0}
account.auth-factors-email-resend,Resend,Erneut senden,重发,재전송,再送,Reenviar
account.auth-factors-email-enter,Enter recovery email,Geben Sie die Wiederherstellungs-E-Mail ein,输入辅助邮箱,복구 이메일 입력,復旧メールを入力してください,Ingresa el correo de recuperación
account.auth-factors-password,Account password,Konto Passwort,户口密码,계정 비밀번호,アカウントパスワード,Contraseña de la cuenta
account.auth-factors-password-set,Set your password,Lege ein Passwort fest,设置你的密码,비밀번호를 설정하세요,パスワードを作る,Establece tu contraseña
account.auth-factors-password-confirm,Re-enter your password,Wiederhole die Eingabe deines Passwortes,重新输入密码,비밀번호 재 입력,パスワードを再入力してください,reingresa tu contraseña
account.auth-factors-password-change,Change Password,Passwort ändern,更改密码,비밀번호 변경,パスワードを変更する,Cambia la contraseña
account.export-share-title,Backup phrase,Sicherungssatz,备用词组,백업 문구,バックアップフレーズ,Frase de respaldo
account.export-share-desc,Save a copy of your backup phrase,Speichern Sie eine Kopie Ihrer Sicherungsphrase,保存备份短语的副本,백업 문구 사본 저장,バックアップフレーズのコピーを保存します,Guarde una copia de su frase de respaldo
account.export-share-copy,Click to copy,Klicken Sie zum Kopieren,点击复制,복사하려면 클릭,クリックしてコピー,Haga clic para copiar
