name,english,german,mandarin,korean,japanese,spanish
modal.header-title,Sign in,Einloggen,登入,로그인,ログイン,Iniciar sesión
modal.header-subtitle,Select one of the following to continue,"Wählen Sie eine der folgenden Optionen aus, um fortzufahren",选择以下一项以继续,계속하려면 다음 중 하나를 선택하세요.,次のいずれかを選択して続行します,Seleccione uno de los siguientes para continuar
modal.adapter-loader.message,Verify on your {{adapter}} account to continue,"Bestätigen Sie Ihr {{adapter}}-Konto, um fortzufahren",验证您的 {{adapter}} 帐户以继续,계속하려면 {{adapter}} 계정에서 인증하세요.,続行するには、{{adapter}} アカウントで確認してください,Verifica tu cuenta de {{adapter}} para continuar
modal.footer.message,Self-custodial login by,Selbstverwahrungs-Login durch,自托管登录由,자가 관리 로그인,による自己管理ログイン,Inicio de sesión con autocustodia por
modal.footer.terms,Terms of use,Nutzungsbedingungen,使用条款,이용약관,利用規約,Términos de Uso
modal.footer.policy,Privacy Policy,Datenschutz-Bestimmungen,隐私政策,개인 정보 정책,プライバシーポリシー,Política de privacidad
modal.social.continue,Continue with,Weitermachen mit,继续,계속,続ける,Continua con
modal.social.view-less,View less options,Weniger Optionen anzeigen,查看更少的选项,더 적은 옵션 보기,オプションを少なく表示,Ver menos opciones
modal.social.view-more,View more options,Weitere Optionen anzeigen,查看更多选项,더 많은 옵션 보기,その他のオプションを表示,Ver más opciones
modal.social.email,Email,Email,电子邮件,이메일,Eメール,Correo electrónico
modal.social.email-continue,Continue with Email,Fahren Sie mit E-Mail fort,继续使用电子邮件,이메일로 계속,メールで続行,Continuar con correo electrónico
modal.external.title,External wallet,Externe Geldbörse,外部钱包,외부 지갑,外部ウォレット,Monedero externo
modal.external.connect,Connect with Wallet,Verbinden Sie sich mit Wallet,连接钱包,지갑과 연결,ウォレットと接続,Conectar con Monedero
modal.external.back,Back,Der Rücken,后退,뒤,戻る,atrás
modal.external.walletconnect-subtitle,Scan QR code with a WalletConnect-compatible wallet,QR-Code mit einem WalletConnect-kompatiblen Wallet scannen,使用兼容 WalletConnect 的钱包扫描 QR 码,WalletConnect 호환 지갑으로 QR 코드 스캔,WalletConnect対応ウォレットでQRコードをスキャン,Escanea el código QR con una billetera compatible con WalletConnect
modal.external.walletconnect-connect,Connect,Verbinden,连接,연결하다,接続,Conectar
modal.network.add-request,This site is requesting to add Network,Diese Website fordert das Hinzufügen eines Netzwerks an,此站点正在请求添加网络,이 사이트는 네트워크 추가를 요청하고 있습니다,このサイトはネットワークの追加をリクエストしています,Este sitio está solicitando agregar Red
modal.network.cancel,Cancel,Absagen,取消,취소,キャンセル,Cancelar
modal.network.proceed,Proceed,Fortfahren,继续,진행하다,続行,Proceder
modal.network.switch-request,This site is requesting to switch Network,Diese Website fordert einen Netzwerkwechsel an,此站点正在请求切换网络,이 사이트는 네트워크 전환을 요청하고 있습니다,このサイトはネットワークの切り替えを要求しています,Este sitio está solicitando cambiar de red
modal.network.from,From,Aus,从,에서,から,De
modal.network.to,To,Zu,至,에게,に,A
modal.footer.message-new,Self-custodial login by Web3Auth,,,,,
modal.header-subtitle-new,Your blockchain wallet in one-click,,,,,
modal.social.policy,We do not store any data related to your social logins.,,,,,
modal.social.view-less-new,View less,,,,,
modal.social.view-more-new,View more,,,,,
modal.footer.version,Version,,,,,
modal.footer.terms-service,Terms of Service ,,,,,
modal.social.email-new,name@example.com,,,,,
